S.NO,Localities,Addresses,PointofContact,ChargingSlots
1784,Jake's Quechee Market,"7161 Woodstock RdQuechee, Vermont 05059","Phone (802) 291-9900

                                                   ","Charging
3 Tesla Connectors"
1785,James Madison's Montpelier,"11350 Constitution HwyMontpelier Station, Virginia 22957","Phone (540) 672-2728

                                                   ","Charging
4 Tesla Connectors"
1786,Jamesport Vineyards,"1216 Main RdJamesport, New York 11947","Phone (631) 722-5256

                                                   ","Charging
4 Tesla Connectors"
1787,Jamestown Hotel,"18153 Main StJamestown, CA 95327","Phone (209) 984-3902

                                                   ","Charging
1 Tesla Connector"
1788,JATC GARAGE - Miami Beach,"237 20th StMiami Beach, Florida 33139","Phone (305) 673-8844

                                                   ","Charging
8 Tesla Connectors"
1789,Jay Landings Marina,"1600 Hwy 20Decatur, AL 35601","Phone (256) 303-3880

                                                   ","Charging
1 Tesla Connector"
1790,Jay Peak Resort,"830 Jay Peak RdJay, Vermont 05859","Phone (802) 988-2611

                                                   ","Charging
14 Tesla Connectors"
1791,Jedediah Hawkins Inn,"400 S Jamesport AveRiverhead, NY 11901","Phone (631) 722-2900

                                                   ","Charging
1 Tesla Connector"
1792,Jekyll Island Club Resort,"371 Riverview DrJekyll Island, Georgia","Phone (855) 535-9547

                                                   ","Charging
4 Tesla Connectors"
1793,Jekyll Island Convention Center,"75 Beachview Drive NorthJekyll Island, Georgia 31527","Phone (912) 635-6400

                                                   ","Charging
6 Tesla Connectors"
1794,Jericho Canyon Vineyard,"3292 Old Lawley Toll RdCalistoga, California 94515","Phone (707) 942-9665

                                                   ","Charging
2 Tesla Connectors"
1795,Jiminy Peak Mountain Resort,"37 Corey RdHancock, MA 01237","Phone (413) 738-5500

                                                   ","Charging
2 Tesla Connectors"
1796,Johnny Seesaw's,"3574 VT-11Peru, Vermont 05152","Phone (802) 824-5533

                                                   ","Charging
2 Tesla Connectors"
1797,Joseph Decuis Farmstead,"6756 E 900 SColumbia City, IN 46725","Phone (260) 672-1715

                                                   ","Charging
1 Tesla Connector"
1798,Joseph Decuis Restaurant,"191 N Main StRoanoke, IN 46783","Phone (260) 672-1715

                                                   ","Charging
1 Tesla Connector"
1799,Joseph Phelps Vineyards,"200 Taplin RdSt Helena, CA 94574","Phone (800) 707-5789

                                                   ","Charging
2 Tesla Connectors"
1800,Jowler Creek Vineyard & Winery,"16905 Jowler Creek RdPlatte City, Missouri 64079","Phone (816) 858-5528

                                                   ","Charging
1 Tesla Connector"
1801,Joyce Vineyards,"1 E Carmel Valley RdCarmel Valley, California 93924","Phone (831) 659-2885

                                                   ","Charging
4 Tesla Connectors"
1802,"Juniper Cupertino, Curio Collection by Hilton","10050 S De Anza BlvdCupertino, CA 95014","Phone (408) 253-8900

                                                   ","Charging
1 Tesla Connector"
1803,Juniper Springs Resort,"4000 Meridian BlvdMammoth Lakes, CA 93546","Phone (760) 924-1102

                                                   ","Charging
4 Tesla Connectors"
1804,JUSTIN Wines,"11680 Chimney Rock RdPaso Robles, California 93446","Phone (805) 238-6932

                                                   ","Charging
2 Tesla Connectors"
1805,JW Marriott Atlanta Buckhead,"3300 Lenox Rd NEAtlanta, GA 30326","Phone (404) 262-3344

                                                   ","Charging
2 Tesla Connectors"
1806,JW Marriott Camelback Inn Resort & Spa,"5402 E Lincoln DrScottsdale, Arizona","Phone (480) 948-1700

                                                   ","Charging
10 Tesla Connectors"
1807,JW Marriott Denver Cherry Creek,"150 Clayton LnDenver, Colorado 80206","Phone (303) 316-2700

                                                   ","Charging
4 Tesla Connectors"
1808,JW Marriott Desert Springs Resort and Spa,"74855 Country Club DrPalm Desert, CA 92260","Phone (760) 341-2211

                                                   ","Charging
4 Tesla Connectors"
1809,JW Marriott Grand Rapids,"235 Louis St NWGrand Rapids, Michigan 49503","Phone (616) 242-1500

                                                   ","Charging
4 Tesla Connectors"
1810,JW Marriott Houston Downtown,"806 Main StHouston, Texas 77002","Phone (713) 237-1111

                                                   ","Charging
3 Tesla Connectors"
1811,JW Marriott Miami,"1109 Brickell AveMiami, Florida 33131","Phone (305) 329-3500

                                                   ","Charging
3 Tesla Connectors"
1812,JW Marriott Santa Monica Le Merigot,"1740 Ocean AveSanta Monica, California 90401","Phone (310) 395-9700

                                                   ","Charging
4 Tesla Connectors"
1813,JW Marriott Starr Pass Resort and Spa,"3800 W Starr Pass BlvdTucson, AZ 85745","Phone (520) 792-3500

                                                   ","Charging
2 Tesla Connectors"
1814,Kalahari Resorts & Conventions,"250 Kalahari BlvdPocono Manor, Pennsylvania 18349","Phone (570) 580-6000

                                                   ","Charging
6 Tesla Connectors"
1815,Karmere Vineyards & Winery,"11970 Shenandoah RdPlymouth, California 95669","Phone (209) 245-5000

                                                   ","Charging
2 Tesla Connectors"
1816,Kaya Vineyard & Winery,"5400 Town Creek RdDahlonega, Georgia 30533","Phone (706) 219-3514

                                                   ","Charging
2 Tesla Connectors"
1817,Kayenta Coyote Gulch Art Village,"875 Coyote Gulch CtIvins, Utah 84738","Phone (435) 688-8535

                                                   ","Charging
2 Tesla Connectors"
1818,Kendall Jackson Wine Estate,"5007 Fulton RdFulton, CA 95439","Phone (866) 287-9818

                                                   ","Charging
1 Tesla Connector"
1819,Kendall Tavern Inn B&B,"213 Main StFreeport, Maine 04032","Phone (207) 865-1338

                                                   ","Charging
2 Tesla Connectors"
1820,Kenjo's Barbeque,"200 E San Bernard StBrazoria, TX 77422","Phone (979) 798-4227

                                                   ","Charging
2 Tesla Connectors"
1821,Kennedy Space Center Visitor Complex,"Kennedy Pkwy NOrlando, Florida 32899","Phone (321) 452-2121

                                                   ","Charging
2 Tesla Connectors"
1822,"Kent Moore Cabinets, Ltd.","445 Stone City DrBryan, TX 77803","Phone (979) 775-2906

                                                   ","Charging
1 Tesla Connector"
1823,Kentucky Science Center,"727 W Main StLouisville, Kentucky 40202","Phone (502) 561-6100

                                                   ","Charging
2 Tesla Connectors"
1824,Kenyon Inn & Restaurant,"100 W Wiggin StGambier, Ohio 43022","Phone (740) 427-2202

                                                   ","Charging
3 Tesla Connectors"
1825,Keswick Hall & Golf Club,"701 Club DrKeswick, VA 22947","Phone (434) 979-3440

                                                   ","Charging
2 Tesla Connectors"
1826,Key West Marriott Beachside Hotel,"3841 N Roosevelt BlvdKey West, FL 33040","Phone (305) 296-8100

                                                   ","Charging
2 Tesla Connectors"
1827,Killington Ski Resort,"5751 US-4Killington, VT 05751","Phone (800) 621-6867

                                                   ","Charging
6 Tesla Connectors"
1828,Killington Ski Resort,"4763 Killington RdKillington, VT 05751","Phone (802) 422-3333

                                                   ","Charging
6 Tesla Connectors"
1829,Killington Ski Resort,"4763 Killington RdKillington, VT 05751","Phone (800) 621-6867

                                                   ","Charging
6 Tesla Connectors"
1830,Killington Ski Resort (K1),"4763 Killington RdKillington, Vermont 05751","Phone (802) 422-3333

                                                   ","Charging
6 Tesla Connectors"
1831,Killington Ski Resort (Pico Mountain),"7373 Alpine DrKillington, Vermont 05751","Phone (802) 422-1330

                                                   ","Charging
6 Tesla Connectors"
1832,Kimber Modern,"110 The CircleAustin, TX 78704","Phone (512) 912-1046

                                                   ","Charging
1 Tesla Connector"
1833,Kimpton Carlyle Hotel,"1731 New Hampshire Ave NWWashington, DC 20009","Phone (202) 234-3200

                                                   ","Charging
1 Tesla Connector"
1834,Kimpton Hotel Monaco Portland,"506 SW Washington StPortland, Oregon 97204","Phone (503) 222-0001

                                                   ","Charging
2 Tesla Connectors"
1835,Kimpton Hotel Palomar Washington DC,"2121  P St NWWashington, DC 20037","Phone (202) 448-1800

                                                   ","Charging
1 Tesla Connector"
1836,Kimpton Hotel Van Zandt,"605 Davis StAustin, Texas 78701","Phone (512) 542-5300

                                                   ","Charging
2 Tesla Connectors"
1837,Kimpton Lorien Hotel & Spa,"1600 King StAlexandria, VA 22314","Phone (703) 894-3434

                                                   ","Charging
1 Tesla Connector"
1838,Kimpton Morrison House,"116 S Alfred StAlexandria, Virginia 22314","Phone (703) 838-8000

                                                   ","Charging
1 Tesla Connector"
1839,Kimpton Nine Zero Hotel,"90 Tremont StBoston, MA 92108","Phone (617) 772-5800

                                                   ","Charging
2 Tesla Connectors"
1840,Kimpton RiverPlace Hotel,"1510 SW Harbor WyPortland, OR 97201","Phone (503) 228-3233

                                                   ","Charging
2 Tesla Connectors"
1841,Kimpton Rouge Hotel,"1315 16th St NWWashington, DC 20036","Phone (202) 232-8000

                                                   ","Charging
2 Tesla Connectors"
